$,dollar ドル記号
acceptation,一般に認められた意味
accepted,一般に認められた
accepted,受け入れられた
access,接近
access,接近する手段
access,接近の権利
access,突発
access,爆発
accessibility,近づきやすいこと
accessibility,手に入りやすいこと
accessibility,影響されやすいこと
accessible,近づきやすい
accessible,入りやすい
accessible,達しうる
accessible,動かされやすい
accessible,影響を受けやすい
accession,到達すること
accession,即位
accession,就任
accession,加入
accession,加盟
accession,追加される物
accessory,付属品
accessory,アクセサリー
accessory,従犯者
accessory,犯人隠匿者
accessory,付属の
accessory,従犯の
accidence,語形論
accidence,形態論
accident,偶然
accident,偶発
accident,めぐり合わせ
accident,事故
accident,災難
accident-prone,事故を起こしやすい
accidental,偶然の
accidental,思いがけない
accidental,臨時記号
accidentally,偶然に
accidentally,思いがけなく
acclaim,歓呼して迎える
acclaim,歓呼
acclaim,かっさい
acclamation,歓呼の声
acclamation,拍手
acclamation,かっさい
acclimation,新しい環境に慣れること
acclimation,順応
acclimation,順化
acclivity,上り坂
accolade,騎士の爵位授与式
accolade,賞賛
accolade,栄誉
accommodate,調停する
accommodating,人の世話をよくする
accommodating,親切な
accommodating,すぐ順応する
accommodating,融通のきく
accommodation,宿泊
accommodation,宿泊設備
accommodation,便宜
accommodation,助け
accommodation,適応
accommodation,順応
accommodation,調停
accommodation,和解
accompaniment,伴うもの
accompaniment,付属する物
accompaniment,伴奏
accompanist,伴奏者
accompany,伴奏をする
accomplice,共犯者
accomplished,成し遂げられた
accomplished,既成の
accomplished,教養が備わった
accomplished,熟達した
accomplisher,完成する人
accomplishment,完成
accomplishment,成就
accomplishment,業績
accomplishment,教養
accomplishment,たしなみ
accomplishment,才芸
accordance,一致
accordance,調和
accordance,適合
accordant,一致した
accordant,合致した
according,従って
accordingly,従って
accordingly,それだから
accordingly,それゆえ
accordingly,それに応じて
accordingly,適宜に
accordion,アコーディオン
accordion,手風琴
accordionist,アコーディオン演奏者
accost,近寄って話しかける
accountable,説明のつく
accountable,説明できる
accountable,責任を持てる
accountancy,会計係の職務
accountant,会計係
accountant,会計士
accountant,計理士
accounting,会計
accounting,経理
accounting,会計学
accredited,一般に認められた
accredited,公認の
accretion,増大
accretion,付加物
accretion,添加物
accrue,生じる
accrue,発生する
accrue,つく
acct.,account
acct.,accountant
acculturation,文化変容
acculturation,固有の文化の変容
accumulation,蓄積すること
accumulation,ためること
accumulation,蓄積した物
accumulative,蓄積する
accumulative,蓄財する
accumulative,ためこみ主義の
accumulator,蓄財家
accumulator,ためる人
accumulator,蓄電池
accumulator,累算器
accuracy,正確さ
accuracy,精密
accurate,正確な
accurate,的確な
accurate,精密な
accurately,正確に
accurately,精密に
accurately,綿密に
accursed,のろわれた
accursed,憎むべき
accursed,いまわしい
accurst,のろわれた
accurst,憎むべき
accurst,いまわしい
accus.,accusative
accusative,対格の
accusative,直接目的格の
accusative,対格
accusative,直接目的格
accused,告発された
accused,刑事被告人
accuser,告訴人
accuser,原告
accuser,非難者
accustomed,いつもの
accustomed,例の
acetonic,アセトンの
acerb,すっぱい
acerb,苦い
acerb,渋い
acerb,厳しい
acerb,しんらつな
acerbity,渋味
acerbity,にがさ
acerbity,辛らつさ
acetanilide,アセトアニリド
acetate,酢酸塩
acetate,アセテート
acetic,酢の
acetic,すっぱい
acetone,アセトン
acetylcholine,アセチルコリン
acetylene,アセチレン
ache,痛みを感じる
ache,痛む
ache,うずく
ache,切望する
ache,心から願う
ache,痛み
ache,うずき
achene,痩果
achievable,成就できる
achievement,成就
achievement,達成
achievement,業績
achievement,功績
achievement,達成されたこと
achromatic,無色の
achromatic,色消しの
acidhead,LSDの常用者
acidity,酸味
acidity,酸度
acidosis,酸性症
acidosis,酸中毒
acidulated,酸味を帯びた
acidulous,多少すっぱい
acidulous,しんらつな
ack.,acknowledge
ack.,acknowledgment
ackack,高射砲
ackack,対空砲火
acknowledger,承認する人
acme,絶頂
acme,極致
acne,にきび
acolyte,侍祭
acolyte,助手
acolyte,補佐役
acolyte,従者 (儀式での）侍者
acolyte,伴僧
acolyte,助手
acolyte,初心者
aconite,トリカブト
acorn,どんぐり
acoustic,音響の
acoustic,聴覚の
acoustic,自然音を出す
acoustics,音響学
acoustics,音響効果
acquaint,知らせる
acquaint,告げる
acquaintance,知り合い
acquaintance,知人
acquaintance,知っていること
acquaintance,知識
acquiesce,いやいやながら従う
acquiesce,黙従する
acquiescence,黙認
acquiescence,甘んじて受け入れること
acquiescent,黙認の
acquiescent,甘受する
acquirable,取得できる
acquirement,取得すること
acquirement,学識
acquirement,技能
acquisition,取得すること
acquisition,取得したもの
acquisition,加わったもの
acquisitive,欲ばりの
acquisitive,ほしがる
acquisitive,得たがる
acquit,+of+名》
acquittal,無罪放免
acquittal,釈放
acquittal,免訴
acre,エーカー
acre,田畑
acre,土地
acreage,エーカー数
acreage,面積
acrid,刺激のある
acrid,ひりひりする
acrid,しんらつな
acrid,とげとげしい
acrimonious,厳しい
acrimonious,しんらつな
acrimony,厳しさ
acrimony,しんらつさ
acrobat,軽業師
acrobat,曲芸師
acrobat,綱渡り芸人
acrobatic,軽業的な
acrobatic,曲芸的な
acrobatics,軽業の演技
acrobatics,軽業の技術
acronym,かしら文字語
acrophobia,高所恐怖症
across-the-board,全員に行き渡る
across-the-board,どれかに当たるようにかける
acrostic,折り句
Act.,active
ACT,American College Testing
ACT,Australian Capital Territory
actomyosin,アクトミオシン
ACTH,副腎皮質刺激ホルモン
actin,アクチン
acting,代理の
acting,臨時の
acting,演出用の
acting,演出
acting,演技
actinic,化学線の
actinic,化学作用のある
actinium,アクチニウム
action,行動
action,活動
action,精力的な活動
action,行為
action,行い
action,日常の行動
action,ふるまい
action,身ぶり
action,動作
action,所作
action,働き
action,働き
action,機能
action,作用
action,戦闘
action,アクション
action,作動装置
action,訴訟
action,本筋
action,筋の運び
actionable,起訴できる
activation,活動化
activation,活性化
active,活動的な
active,活発な
active,活気のある
active,有効な
active,まだ働いている
active,機能している
active,現役の
active,積極的な
active,実際的な
active,能動態の
actively,活発に
actively,積極的に
activism,化学線作用
activism,実践主義
activist,積極行動主義者
activist,実践主義者
activity,活動
activity,働き
activity,活力
activity,活動
activity,行事
activity,学内活動
activity,クラブ活動
activity,活発
activity,活気
actor,俳優
actor,男優
actor,行為者
actress,女優
Acts,使徒行伝
actual,現実の
actual,実際上の
actual,現在の
actual,現存の
actuality,現実
actuality,実在
actuality,現実性
actuality,現状
actuality,事実
actually,実際に
actually,現に
actually,ほんとうに
actuarial,保険計理士の
actuary,保険計理士
acuity,鋭さ
acuity,鋭敏
acumen,明敏
acumen,眼識の鋭さ
acupuncture,針療法
acupuncture,鍼術
acute,鋭い
acute,とがった
acute,激しい
acute,強い
acute,鋭い
acute,鋭敏な
acute,重大な
acute,急性の
acute,高い
acute,鋭い
acute,鋭角の
ad,広告
ADA,Americans for Democratic Action 米国人民主行動連盟
adage,格言
adage,ことわざ
adagio,ゆるやかに
adagio,アダージォの曲
Adam,アダム
adamant,絶対に砕けない堅固な物質
adamant,堅固無比な
adamant,ゆずらない
adamant,ゆずらない
adamantine,不動の
adamantine,ゆるぎない
adaptability,適応性
adaptability,順応性
adaptable,適応できる
adaptable,融通のきく
adaptable,順応性のある
adaptation,適応
adaptation,順応
adaptation,脚色
adaptation,翻案
adaptation,翻案物
adaptation,改作物
adaptive,適応できる
adaptive,適応性のある
add.,addenda
add.,addition
addend,加数
addenda,addendumの複数形
addendum,付加物
addendum,追加
addendum,補遺
addendum,付録
adder,計算者
adder,計算器
adder,アダー
addict,常用者
addict,中毒者
addiction,熱中すること
addiction,常用
addictive,中毒を起こす
addictive,習慣性の
addition,付け加えること
addition,追加
addition,加法
addition,足し算
addition,加えられた物
addition,足した物
additional,付け加えた
additional,追加の
additional,特別の
additionally,その上
additionally,さらに
additive,添加された
additive,足し算の
additive,添加物
addn.,additional
addnl,additional
addressee,受信人
addressee,名あて人
Aden,アデン
adenine,アデニン
adenoids,アデノイド
adenoids,腺様増殖症
adept,熟達した
adept,精通した
adept,巧みな
adept,熟達した人
adept,名人
adequacy,適当であること
adequacy,妥当性
adequacy,十分なこと
adequate,十分な
adequate,かろうじて満足できる
adequate,適した
adequate,かなった
adequately,適切に
adequately,十分に
adhere,くっつく
adhere,付着する
adhere,粘着する
adhere,執着する
adhere,固守する
adherence,固守
adherence,執着
adherence,付着すること
adherent,味方する
adherent,固守する
adherent,粘着性の
adherent,付着性の
adherent,支持者
adherent,味方
adherent,信者
adhesion,粘着
adhesion,付着
adhesive,付着力のある
adhesive,粘着性の
adhesive,粘着物
adhesive,接着剤
adiabatic,断熱の
adieu,さようなら
adieu,ごきげんよう
adieu,別れ
adieu,告別
adios,さようなら
adipose,脂肪質の
adj.,adjective
adjacent,近接の
adjacent,隣接している
adjacent,すぐ近くの
adjectival,形容詞的
adjective,形容詞
adjective,形容詞の
adjoining,隣り合う
adjoining,隣の
adjournment,延期
adjournment,休会
adjournment,延期期間
adjudge,考える
adjudge,見なす
adjudication,裁定
adjudication,判決
adjudication,宣告
adjunct,付属物
adjunct,修飾語句
adjunctive,付属的な
adjustable,調節できる
adjustable,調整できる
adjustment,調停
adjustment,調整
adjustment,調節
adjustment,調整装置
adjutant,副官
adjutant,補助員
adjutant,助手
adjutant,ハゲコウ
Adm.,admiral
adman,広告業者
adman,広告会社社員
admass,マスコミ広告
admass,マスコミ社会
administration,行政
administration,統治
administration,管理
administration,経営
administration,行政機関
administration,連邦政府
administration,管理者側
administration,当局者
administration,教務部
administration,執行
administration,施行
administrative,行政上の
administrative,管理の
administrative,経営の
administrator,為政者
administrator,行政官
administrator,管理者
admirable,賞賛に値する
admirable,感心する
admirable,りっぱな
admirably,りっぱに
admirably,みごとに
admiral,司令長官
admiral,海軍将官
admiral,提督
admiral,アカタテハチョウ
admiralty,海軍省
admiralty,海事法
admiration,賞賛
admiration,感嘆
admiration,賛美
admirer,賞賛者
admirer,敬慕する人
admiring,感嘆する
admiring,賞賛する
admissibility,許容
admissibility,容認
admissibility,許容できること
admissible,受け入れられる
admissible,つく資格がある
admission,入ることを許すこと
admission,入場許可
admission,入る権利
admission,入場料
admission,入学金
admission,認めること
admission,白状
admission,容器
admittance,入場
admittance,入場許可
admitted,認められた
admitted,明白な
admitted,自認している
admittedly,明らかに
admittedly,疑いなく
admixture,混合すること
admixture,混合物
admixture,混入物
admixture,添加物
admonish,穏やかにさとす
admonition,忠告
admonition,警告
admonition,訓戒
admonitory,忠告の
admonitory,注意を促す
admonitory,たしなめる
ado,騒ぎ
ado,騒動
ado,めんどう
adobe,アドービれんが　日干し煉瓦
adobe,アドービれんが造りの家屋
adobe,アドービれんが造りの
adolescence,青春期
adolescence,思春期
adolescent,青春期の
adolescent,青年らしい
adolescent,青春期の人
adolescent,若者
adoption,採用
adoption,採択
adoption,養子縁組
adoptive,養子関係の
adorable,ほれぼれする
adorable,とてもすてきな
adorable,敬愛すべき
adoration,崇拝
adoration,礼拝
adoration,敬愛
adoration,愛慕
adorer,礼拝者
adorer,崇拝者
adorer,賛美者
adorer,熱愛者
adoring,愛情をこめた
adornment,飾ること
adornment,装飾
adornment,装飾品
adrenal,副腎の
adrenalin[e],アドレナリン
adrenalin[e],アドレナリン剤
adrift,漂って
adrift,あてもなく
adrift,放浪して
adroit,器用な
adroit,機敏な
adroit,巧みな
adsorbate,吸着物
adulation,へつらい
adulation,おせじ
adulator,へつらう人
adulator,おべっか使い
adulatory,こびへつらう
adulatory,おもねる
adult,おとなの
adult,成人した
adult,成熟した
adult,成人向きの
adult,おとな
adult,成人
adulterant,混ぜ物
adulterant,混ぜ物をする
adulteration,混ぜ物をすること
adulteration,粗悪品
adulterer,姦通者
adulterer,姦夫
adulterer,間男
adulteress,姦通した女
adulteress,姦婦
adulterous,姦通の
adulterous,不貞の
adultery,姦通
adultery,不義
adulthood,成人であること
adulthood,成年期
adumbration,予示
adumbration,前兆
adumbration,大体の輪郭
adv.,adverb
adv.,advertisement
advanced,進出した
advanced,前進した
advanced,進歩した
advanced,上級の
advanced,高等の
advanced,進んだ
advanced,進行した
advancement,進歩
advancement,発達
advancement,促進
advancement,振興
advancement,昇進
advancement,進級
advancer,前進する人
advantageous,有利な
advantageous,好都合な
advantageously,有利に
advantageously,好都合に
advent,出現
advent,到来
advent,キリストの降臨
advent,降臨節
Adventist,キリスト再臨論者
adventitious,偶然の
adventurer,冒険家
adventurer,やま師
adventurer,投機家
adventuresome,大胆な
adventuresome,勇敢な
adventuress,女性冒険家
adventuress,女やま師
adventurous,冒険好きな
adventurous,大胆な
adventurous,冒険的な
adventurous,危険な
adverb,副詞
adverbial,副詞の
adverbial,副詞的な
adversary,敵
adversary,対抗者
adversative,反対の意味の
adversative,対照を表す
adverse,反対の
adverse,逆の
adverse,逆方向の
adversity,逆境
adversity,不幸
adversity,不幸なできごと
advert,言及する
advertent,注意深い
advertent,用心深い
advertisement,広告
advertisement,宣伝
advertiser,広告者
advertiser,広告主
advertising,広告
advertising,広告業
advertising,広告の
advice,忠告
advice,助言
advice,意見
advice,指示
advice,通知
advice,報道
advice,報告
advisability,適否
advisability,得策
advisable,勧めることができる
advisable,得策の
advise,通知する
advise,知らせる
advise,忠告する
advised,熟慮された
advised,知らされた
advised,情報を得た
advisement,熟慮
advisement,熟考
advisory,勧告の
advisory,忠告の
advisory,諮問の
advocacy,弁護
advocacy,擁護
advocacy,唱道
advt.,advertisement
adze,手おの
AEC,Atomic Energy Commission 米国原子力委員会
aegis,保護
aegis,援助
Aeneas,アイネアス
Aeolian,アイオロスの
Aeolian,風の
Aeolian,風に吹かれた
aeon,無限に長い時間
eon,無限に長い時間
aeration,曝気
aeration,空気にさらすこと
aeration,気体を入れること
aerator,通気装置
aerator,煙消毒装置
aerial,空気の
aerial,大気の
aerial,航空の
aerial,空中に生長する
aerial,希薄な
aerial,軽やかな
aerial,アンテナ
aerialist,空中曲芸師
aerobatic,曲芸飛行の
aerobatics,曲芸飛行術
aerobe,好気性生物
aerobic,好気性の
aerodynamic,空気力学の
aerodynamic,航空力学の
aerodynamics,空気力学
aerodynamics,航空力学
aerodynamics,航空力学的特性
aerology,高層気象学
aeron.,aeronautics
aeronaut,軽気球の操縦士
aeronautics,航空学
aeronautics,飛行術
aerosol,煙霧質
aerospace,気圏
aerospace,航空宇宙
aerospace,気圏の
aerospace,航空宇宙の
aertex,エアテックス
Aeschylus,アイスキュロス
Aesop,イソップ
Aesopian,イソップの
Aesopian,イソップ物語風な
aesthete,唯美主義者
aesthetic,美学の
aesthetic,審美的な
aesthetics,美学
aestivate,夏を過ごす
aestivate,夏眠する
AF,air force 空軍
A.F.,air force 空軍
afar,遠くに
afar,はるかに
AFB,Air Force Base 空軍基地
AFC,automatic frequency control 自動周波数制御
affability,愛想のよさ
affability,人好きのすること
affable,近づきやすい
affable,親しみのもてる
affair,事
affair,事柄
affair,事件
affair,でき事
affair,仕事
affair,業務
affair,物
affair,しろもの
affair,恋愛事件
affair,情事
affectation,見せかけ
affectation,ふりをすること
affectation,気どり
affectation,てらい
affectation,きざな言動
affected,影響された
affected,作用を受けた
affected,感動した
affected,冒された
affected,気どった
affected,きざな
affecting,心を打つ
affecting,感動的な
affection,愛情
affection,好意
affection,病気
affectionate,愛情のこもった
affectionate,優しい
affectionately,愛情をこめて
affectionately,優しく
affidavit,宣誓供述書
affiliation,加入
affiliation,加盟
affiliation,同盟
affiliation,合同
affiliation,提携
affinity,好み
affinity,親近感
affinity,密接な関係
affinity,類似
affinity,類縁
affinity,親和力
affirmation,断言
affirmation,承認
affirmative,肯定的な
affirmative,肯定
affirmative,是認
affirmative,肯定語
affirmative,賛成者側
afflatus,霊感
afflatus,啓示
affliction,苦悩
affliction,難儀
affliction,苦悩を引き起こすもの
affluence,裕福
affluence,豊かさ
affluent,裕福な
affluent,豊富な
affluent,たくさんの
affluent,豊富な
affluent,支流
afforestation,造林
afforestation,植林
affray,乱闘
affray,口論
affricate,破擦音
afft.,affidavit
Afghan,アフガニスタンの
Afghan,アフガニスタン人の
Afghan,アフガニスタン人
Afghan,アフガニスタン語：
Afghanistan,アフガニスタン
aficionado,熱愛者
aficionado,こり屋
afield,離れて
afield,それて
afield,遠くに
afield,野外に
afire,燃えた
afire,燃えて
aflame,燃え立った
aflame,赤くなった
aflame,燃え立って
aflame,赤くなって
AFLCIO,American Federation of Labor and Congress of Industrial Organizations 米国労働総同盟産別会議
afloat,浮かんだ
afloat,海上の
afloat,船上の
afloat,水をかぶって
afloat,浸水した
afloat,広まった
afloat,財政上の危機を抜け出て
afloat,浮かんで
afloat,海上で
afloat,船上で
afloat,水をかぶって
afloat,広まって
aflutter,はためいて
aflutter,ひらひらして
afoot,徒歩の
afoot,歩いて
afoot,進行中の
afoot,徒歩で
afoot,進行中で
aforementioned,前述の
aforementioned,前記の
aforesaid,前述の
aforethought,計画的な
aforethought,故意の
afoul,衝突して
afoul,もつれて
Afr.,Afriac
Afr.,African
afraid,恐れて
afraid,こわがって
afraid,気づかって
afraid,心配して
afraid,気が進まない
afresh,あらたに
afresh,再び
Africa,アフリカ
African,アフリカの
African,アフリカ黒人の
African,アフリカ人
Afrikaans,南アフリカ共和国の言語
Afrikaner,南アフリカ人
Afro,アフロ
Afro-American,アメリカ黒人の
Afro-American,アメリカ黒人
aft,船尾に
aft,船尾の方に
aft,船尾の
afterbirth,後産
afterburner,再燃焼装置
aftercare,病後の養生
aftercare,職業指導
aftercare,更生指導
afterdeck,後甲板
aftereffect,余波
aftereffect,なごり
aftereffect,後作用
afterglow,夕焼け
afterglow,夕映え
afterglow,後に残った快感
afterglow,快い後味
afterimage,残像
afterlife,死後の命
afterlife,来世
afterlife,余生
aftermath,余波
aftermath,結果
aftermost,最後部の
aftermost,最後の
afternoon,午後
afternoon,午後の
afternoons,午後になるたびに
afternoons,午後はいつも
afters,食後のデザート
aftershave,ひげ剃り後につける化粧水
aftertaste,あと口
aftertaste,あと味
aftertaste,あと味
afterthought,あと思案
afterthought,あと知恵
Ag,silverの化学記号
agape,あっけにとられて
agape,唖然として
agape,あっけにとられた
agape,ぽかんとした
agape,愛
agape,兄弟愛
agar,寒天
agar,寒天培地
agar,寒天培養基
agate,メノウ
agate,メノウ製のビー玉
agave,リュウゼツラン
agcy.,agency
age-old,年を経た
age-old,古くからの
aged,年とった
ageism,年齢差別
ageism,老人差別
ageless,不老の
ageless,永遠の
agency,代理店
agency,取扱店
agency,周旋所
agency,代理人
agency,機関
agency,庁
agency,力
agency,働き
agency,作用
agency,手段
agency,仲介
agency,尽力
agency,世話
agenda,会議事項
agenda,議事日程
agenda,備忘録
agent,代理人
agent,周旋人
agent,働きを起こすもの
agent,作用物
agent,薬剤
agent,部員
agent,機関員
ageratum,カッコウアザミ
agglomeration,固まり
agglomeration,集塊
agglutination,膠着
agglutination,接着
agglutinative,膠着する
